id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2026-01-07 02:56:00,"{""short_code"":""dRT8sC"",""original_url"":""https://relay.cloud/ember/orbit/1""}"
2,2,332,created,2025-12-23 18:17:22,"{""short_code"":""qb4bcj"",""original_url"":""https://seeded.app/ember/garden/2""}"
3,3,177,created,2025-08-15 10:40:22,"{""short_code"":""WIk2iR"",""original_url"":""https://hackstack.io/cobalt/pioneer/3""}"
4,4,8,created,2025-02-23 01:01:09,"{""short_code"":""qXWAtH"",""original_url"":""https://example.com/ember/uplink/4""}"
5,5,209,created,2025-09-11 19:59:05,"{""short_code"":""pbcWWT"",""original_url"":""https://example.com/urban/engine/5""}"
6,6,85,created,2025-04-08 22:10:47,"{""short_code"":""kKowZS"",""original_url"":""https://hackstack.io/ember/pioneer/6""}"
7,7,207,created,2025-01-15 16:40:02,"{""short_code"":""wmGLJr"",""original_url"":""https://seeded.app/vivid/island/7""}"
8,8,321,created,2025-02-20 22:53:17,"{""short_code"":""HSTGus"",""original_url"":""https://opswise.net/jade/beacon/8""}"
9,9,308,created,2025-09-24 04:22:08,"{""short_code"":""4eHbIt"",""original_url"":""https://opswise.net/young/quartz/9""}"
10,10,361,created,2025-01-15 15:40:04,"{""short_code"":""TBtc9g"",""original_url"":""https://seeded.app/harbor/zenith/10""}"
11,11,26,created,2025-02-07 18:22:16,"{""short_code"":""cLSKlH"",""original_url"":""https://opswise.net/jade/kernel/11""}"
12,12,155,created,2025-06-07 10:06:44,"{""short_code"":""SFPlQk"",""original_url"":""https://seeded.app/jade/island/12""}"
13,13,264,created,2025-10-06 00:39:52,"{""short_code"":""HJixca"",""original_url"":""https://example.com/mellow/pioneer/13""}"
14,14,298,created,2025-08-17 14:57:16,"{""short_code"":""MwoO1M"",""original_url"":""https://opswise.net/rapid/uplink/14""}"
15,15,169,created,2026-02-17 12:19:01,"{""short_code"":""KI7caO"",""original_url"":""https://example.com/forest/window/15""}"
16,16,179,created,2025-09-22 23:36:24,"{""short_code"":""ISvC4m"",""original_url"":""https://seeded.app/cobalt/zenith/16""}"
17,17,249,created,2025-01-13 13:36:35,"{""short_code"":""bSid5D"",""original_url"":""https://seeded.app/mellow/garden/17""}"
18,18,197,created,2025-03-31 07:00:52,"{""short_code"":""YMmKrD"",""original_url"":""https://opswise.net/jade/island/18""}"
19,19,312,created,2025-12-16 03:13:32,"{""short_code"":""pnsGZK"",""original_url"":""https://hackstack.io/harbor/signal/19""}"
20,20,271,created,2025-12-02 20:07:51,"{""short_code"":""Ssf9Pu"",""original_url"":""https://acme.dev/silver/kernel/20""}"
21,21,42,created,2025-01-25 00:35:51,"{""short_code"":""lB2SDP"",""original_url"":""https://example.com/rapid/yard/21""}"
22,22,316,created,2025-04-09 17:24:49,"{""short_code"":""8TbCYN"",""original_url"":""https://hackstack.io/opal/kernel/22""}"
23,23,151,created,2025-03-13 09:50:22,"{""short_code"":""rasaD5"",""original_url"":""https://seeded.app/quiet/orbit/23""}"
24,24,176,created,2025-09-07 06:31:46,"{""short_code"":""pFeuF4"",""original_url"":""https://opswise.net/young/garden/24""}"
25,25,23,created,2026-01-04 00:39:54,"{""short_code"":""fjPVcr"",""original_url"":""https://relay.cloud/brisk/field/25""}"
26,26,278,created,2025-11-05 02:38:09,"{""short_code"":""QtccpN"",""original_url"":""https://acme.dev/silver/anchor/26""}"
27,27,208,created,2025-07-22 21:33:56,"{""short_code"":""sV91Xg"",""original_url"":""https://seeded.app/young/meadow/27""}"
28,28,32,created,2025-05-20 20:50:01,"{""short_code"":""DnIJ0j"",""original_url"":""https://opswise.net/ivory/anchor/28""}"
29,29,68,created,2025-11-18 15:12:26,"{""short_code"":""1YNSh1"",""original_url"":""https://example.com/gold/orbit/29""}"
30,30,21,created,2025-04-11 05:32:48,"{""short_code"":""Ztmmxy"",""original_url"":""https://opswise.net/brisk/lagoon/30""}"
31,31,300,created,2025-09-10 17:21:37,"{""short_code"":""D4e0DJ"",""original_url"":""https://relay.cloud/amber/valley/31""}"
32,32,177,created,2025-02-14 11:24:13,"{""short_code"":""iZVjLg"",""original_url"":""https://opswise.net/rapid/river/32""}"
33,33,186,created,2025-03-19 14:03:49,"{""short_code"":""IaImwA"",""original_url"":""https://hackstack.io/clear/journey/33""}"
34,34,135,created,2026-01-09 19:04:37,"{""short_code"":""YzXLi2"",""original_url"":""https://opswise.net/brisk/signal/34""}"
35,35,31,created,2025-02-10 18:14:42,"{""short_code"":""LgtBZg"",""original_url"":""https://hackstack.io/calm/anchor/35""}"
36,36,254,created,2025-09-22 22:53:20,"{""short_code"":""xO3syD"",""original_url"":""https://example.com/keen/meadow/36""}"
37,37,79,created,2026-01-19 01:32:08,"{""short_code"":""jXtcmc"",""original_url"":""https://hackstack.io/harbor/journey/37""}"
38,38,14,created,2025-06-15 15:57:48,"{""short_code"":""PjZXsv"",""original_url"":""https://opswise.net/navy/uplink/38""}"
39,39,399,created,2025-03-30 23:34:28,"{""short_code"":""cZFtTF"",""original_url"":""https://hackstack.io/harbor/engine/39""}"
40,40,67,created,2025-06-23 21:54:06,"{""short_code"":""t34Vpu"",""original_url"":""https://opswise.net/navy/trail/40""}"
41,41,375,created,2025-10-27 03:38:06,"{""short_code"":""q5UiRS"",""original_url"":""https://acme.dev/brisk/garden/41""}"
42,42,355,created,2025-07-05 01:40:32,"{""short_code"":""DUwiOd"",""original_url"":""https://example.com/calm/window/42""}"
43,43,90,created,2025-11-30 06:35:06,"{""short_code"":""q6xbp8"",""original_url"":""https://opswise.net/calm/beacon/43""}"
44,44,166,created,2025-12-26 19:36:14,"{""short_code"":""ye1E6b"",""original_url"":""https://relay.cloud/dawn/river/44""}"
45,45,150,created,2025-10-07 17:57:50,"{""short_code"":""jbdltK"",""original_url"":""https://example.com/brisk/journey/45""}"
46,46,171,created,2025-06-11 18:06:16,"{""short_code"":""38fUcj"",""original_url"":""https://opswise.net/jade/signal/46""}"
47,47,161,created,2026-01-11 17:15:39,"{""short_code"":""od77dG"",""original_url"":""https://relay.cloud/ember/network/47""}"
48,48,7,created,2025-04-25 20:52:28,"{""short_code"":""RM9Asc"",""original_url"":""https://hackstack.io/keen/river/48""}"
49,49,188,created,2025-06-14 09:20:12,"{""short_code"":""bfPfSy"",""original_url"":""https://seeded.app/opal/zenith/49""}"
50,50,141,created,2025-06-23 22:48:14,"{""short_code"":""hVz9wY"",""original_url"":""https://example.com/tidy/island/50""}"
